U	c1	c2	JFP
3.673469388	0.989795918	-0.575510204	1.505590311
4.795918367	0.857142857	-0.489795918	1.506329924
4.591836735	0.918367347	-0.551020408	1.508129342
4.795918367	0.897959184	-0.526530612	1.508363224
3.775510204	0.959183673	-0.6	1.508541757
4.897959184	1	-0.551020408	1.508671521
4.693877551	0.979591837	-0.587755102	1.509746446
4.795918367	0.948979592	-0.502040816	1.50989871
4.387755102	1	-0.587755102	1.510330971
3.469387755	0.918367347	-0.551020408	1.511035779
4.693877551	0.959183673	-0.575510204	1.511305115
3.469387755	0.867346939	-0.551020408	1.512418757
4.897959184	0.928571429	-0.514285714	1.513170964
4.591836735	0.857142857	-0.502040816	1.513722057
4.591836735	0.93877551	-0.502040816	1.520213868
4.387755102	0.928571429	-0.53877551	1.520968901
3.469387755	0.867346939	-0.563265306	1.522159042
3.571428571	0.867346939	-0.551020408	1.52299841
3.673469388	0.887755102	-0.551020408	1.523214127
3.775510204	0.93877551	-0.563265306	1.523335007
4.897959184	0.93877551	-0.514285714	1.524079424
4.693877551	1	-0.6	1.525054601
4.795918367	0.867346939	-0.502040816	1.52616091
3.367346939	0.887755102	-0.575510204	1.526393983
3.571428571	0.887755102	-0.53877551	1.52790541
4.693877551	0.836734694	-0.47755102	1.529251866
3.571428571	0.87755102	-0.53877551	1.530192307
3.775510204	0.928571429	-0.563265306	1.531252686
4.591836735	0.846938776	-0.489795918	1.532744247
4.693877551	0.93877551	-0.563265306	1.532802889
4.387755102	0.93877551	-0.551020408	1.534364594
4.591836735	0.846938776	-0.47755102	1.534854229
4.897959184	0.969387755	-0.551020408	1.534918501
4.387755102	0.979591837	-0.551020408	1.539286036
3.775510204	0.979591837	-0.575510204	1.541620103
3.673469388	0.928571429	-0.6	1.544436297
4.489795918	0.979591837	-0.587755102	1.544483612
4.387755102	1	-0.563265306	1.544638963
4.897959184	0.948979592	-0.53877551	1.545363043
4.489795918	0.959183673	-0.575510204	1.545707193
4.693877551	0.897959184	-0.47755102	1.546693905
3.775510204	0.928571429	-0.575510204	1.546993308
3.775510204	0.948979592	-0.563265306	1.547848084
3.571428571	0.93877551	-0.551020408	1.548439136
3.367346939	0.897959184	-0.563265306	1.548900404
4.897959184	0.989795918	-0.563265306	1.549009623
4.591836735	0.87755102	-0.47755102	1.549659621
4.693877551	0.846938776	-0.465306122	1.549693954
3.469387755	0.897959184	-0.6	1.549944071
4.489795918	0.87755102	-0.514285714	1.550274772
3.367346939	0.908163265	-0.563265306	1.551856857
3.571428571	0.897959184	-0.53877551	1.554486858
3.571428571	0.969387755	-0.563265306	1.556075216
4.897959184	0.918367347	-0.514285714	1.557126511
3.571428571	0.867346939	-0.53877551	1.561389976
4.489795918	1	-0.6	1.561799179
4.387755102	0.959183673	-0.53877551	1.562137405
3.571428571	0.908163265	-0.6	1.563012294
4.897959184	0.969387755	-0.526530612	1.564135454
4.795918367	0.846938776	-0.47755102	1.564313548
4.387755102	0.918367347	-0.526530612	1.564343046
4.591836735	0.867346939	-0.514285714	1.565481331
3.775510204	0.93877551	-0.587755102	1.565746463
4.693877551	0.857142857	-0.465306122	1.567161173
4.489795918	0.93877551	-0.563265306	1.568293565
4.387755102	0.928571429	-0.526530612	1.568711538
3.469387755	0.959183673	-0.563265306	1.56920921
3.673469388	0.887755102	-0.563265306	1.570431363
3.673469388	0.93877551	-0.551020408	1.571049566
3.775510204	0.918367347	-0.563265306	1.571310117
3.367346939	0.887755102	-0.563265306	1.571415976
4.897959184	0.989795918	-0.53877551	1.571923852
4.489795918	0.989795918	-0.53877551	1.57351834
3.673469388	0.969387755	-0.563265306	1.575175148
4.489795918	0.867346939	-0.502040816	1.575372539
4.795918367	0.897959184	-0.47755102	1.575512234
4.693877551	0.918367347	-0.551020408	1.576655685
4.693877551	0.928571429	-0.489795918	1.579337697
3.673469388	0.897959184	-0.575510204	1.579676388
3.367346939	0.918367347	-0.563265306	1.580002526
4.591836735	0.897959184	-0.53877551	1.580349567
4.693877551	0.836734694	-0.465306122	1.581542689
3.367346939	0.959183673	-0.575510204	1.583451218
4.897959184	0.928571429	-0.526530612	1.583726988
4.387755102	0.969387755	-0.575510204	1.584185573
3.367346939	0.887755102	-0.587755102	1.586986462
4.693877551	0.867346939	-0.514285714	1.587398319
4.795918367	0.969387755	-0.575510204	1.588027729
4.897959184	0.948979592	-0.514285714	1.588295073
4.489795918	0.887755102	-0.526530612	1.589281666
4.387755102	0.989795918	-0.587755102	1.589895831
3.367346939	0.897959184	-0.6	1.590585686
4.489795918	0.969387755	-0.526530612	1.590854185
3.469387755	0.928571429	-0.551020408	1.591577272
3.367346939	0.989795918	-0.587755102	1.592921153
4.387755102	0.918367347	-0.53877551	1.594109935
4.489795918	0.918367347	-0.502040816	1.594408464
3.469387755	0.857142857	-0.551020408	1.594478386
4.795918367	0.989795918	-0.587755102	1.595334972
4.897959184	0.918367347	-0.502040816	1.596569297
4.795918367	0.928571429	-0.489795918	1.597331681
4.897959184	0.908163265	-0.502040816	1.597495934
4.795918367	0.948979592	-0.563265306	1.598705857
4.387755102	0.948979592	-0.563265306	1.600141501
3.673469388	0.887755102	-0.53877551	1.601015818
4.387755102	0.908163265	-0.526530612	1.602634064
3.775510204	0.959183673	-0.563265306	1.603112694
3.673469388	0.897959184	-0.53877551	1.604096785
3.571428571	0.867346939	-0.563265306	1.604569219
3.673469388	0.87755102	-0.551020408	1.604685832
3.87755102	1	-0.6	1.607009533
3.571428571	0.908163265	-0.53877551	1.608344032
3.469387755	0.989795918	-0.575510204	1.609333985
3.469387755	0.87755102	-0.53877551	1.610532944
4.489795918	0.87755102	-0.489795918	1.611346642
4.489795918	0.918367347	-0.551020408	1.614286825
4.387755102	0.93877551	-0.526530612	1.615090903
3.469387755	0.867346939	-0.53877551	1.616265067
4.489795918	0.867346939	-0.489795918	1.616687104
4.795918367	0.87755102	-0.514285714	1.616735651
3.571428571	0.87755102	-0.575510204	1.617383887
